,,,,,,,,,
"MAT1004 - Álgebra Linear   (3 Aulas semanais presenciais, 0 Aulas semanais assíncronas, 0 horas semestrais extensionistas)",,,,,,,,,
,,,,,,,,,
Turma,Matricula Intercampus,Enquadramento,Vagas,Vagas,Reserva,Prioridade - Curso,Horário (dia/turno/aula),Professor (Sujeito à alteração),Optativa (Observar Equivalências)
,,,Total,Calouros,,,,,
ALI2,Indisponível,Presencial,44,0,Aberta,1 - Engenharia Alimentos,4M3(I11) - 4M4(I11) - 4M5(I11),Franciele Buss Frescki Kestring,Não
AMB2,Indisponível,Presencial,44,0,Aberta,1 - Eng Amb/Sanitária,4N1(L22) - 4N2(L22) - 4N3(L22),Vanessa Hlenka,Não
CC4,Indisponível,Presencial,44,0,Aberta,1 - Ciência Computação,6M3(L21) - 6M4(L21) - 6M5(L21),Fausto Pinheiro Da Silva,Não
ELE3,Indisponível,Presencial,44,0,Aberta,1 - Engenharia Elétrica,2M1(L42) - 2M2(L42) - 2M3(L42),Cleverson Goncalves Dos Santos,Não
EP3,Indisponível,Presencial,44,0,Aberta,1 - Eng.Produção,2M1(L23) - 2M2(L23) - 2M3(L23),Franciele Buss Frescki Kestring,Não
,,,,,,,,,
"COM1027 - Arquitetura Avançada De Hardware   (3 Aulas semanais presenciais, 0 Aulas semanais assíncronas, 0 horas semestrais extensionistas)",,,,,,,,,
,,,,,,,,,
Turma,Matricula Intercampus,Enquadramento,Vagas,Vagas,Reserva,Prioridade - Curso,Horário (dia/turno/aula),Professor (Sujeito à alteração),Optativa (Observar Equivalências)
,,,Total,Calouros,,,,,
CC5,Indisponível,Presencial,40,0,Fechada,1 - Ciência Computação,3T1(L13) - 3T2(L13) - 3T3(L13),Hamilton Pereira Da Silva,Não
,,,,,,,,,
"COM1023 - Arquitetura E Organização De Computadores   (3 Aulas semanais presenciais, 0 Aulas semanais assíncronas, 0 horas semestrais extensionistas)",,,,,,,,,
,,,,,,,,,
Turma,Matricula Intercampus,Enquadramento,Vagas,Vagas,Reserva,Prioridade - Curso,Horário (dia/turno/aula),Professor (Sujeito à alteração),Optativa (Observar Equivalências)
,,,Total,Calouros,,,,,
CC4,Indisponível,Presencial,40,0,Fechada,1 - Ciência Computação,3M4(L18) - 3M5(L18) - 4M4(L18),Nelson Miguel Betzek,Não
,,,,,,,,,
"COM1014 - Árvores E Grafos   (4 Aulas semanais presenciais, 0 Aulas semanais assíncronas, 0 horas semestrais extensionistas)",,,,,,,,,
,,,,,,,,,
Turma,Matricula Intercampus,Enquadramento,Vagas,Vagas,Reserva,Prioridade - Curso,Horário (dia/turno/aula),Professor (Sujeito à alteração),Optativa (Observar Equivalências)
,,,Total,Calouros,,,,,
CC3,Indisponível,Presencial,40,0,Fechada,1 - Ciência Computação,3T4(L18) - 3T5(L18) - 5T3(L18) - 5T4(L18),Evando Carlos Pessini,Não
,,,,,,,,,
"CC56E - Aspectos Formais Da Computação   (3 Aulas semanais presenciais, 0 Aulas semanais assíncronas, 0 horas semestrais extensionistas)",,,,,,,,,
,,,,,,,,,
Turma,Matricula Intercampus,Enquadramento,Vagas,Vagas,Reserva,Prioridade - Curso,Horário (dia/turno/aula),Professor (Sujeito à alteração),Optativa (Observar Equivalências)
,,,Total,Calouros,,,,,
CC6,Indisponível,Presencial,40,0,Fechada,1 - Ciência Computação,2M4(L15) - 2M5(L15) - 3M1(L15),Evando Carlos Pessini,Não
,,,,,,,,,
"COM1005 - Comunicação De Dados   (2 Aulas semanais presenciais, 0 Aulas semanais assíncronas, 0 horas semestrais extensionistas)",,,,,,,,,
,,,,,,,,,
Turma,Matricula Intercampus,Enquadramento,Vagas,Vagas,Reserva,Prioridade - Curso,Horário (dia/turno/aula),Professor (Sujeito à alteração),Optativa (Observar Equivalências)
,,,Total,Calouros,,,,,
CC1,Indisponível,Presencial,48,40,Fechada,1 - Ciência Computação,4T2(L22) - 4T3(L22),Hamilton Pereira Da Silva,Não
,,,,,,,,,
"OP63E - Comunicação Sem Fio   (4 Aulas semanais presenciais, 0 Aulas semanais assíncronas, 0 horas semestrais extensionistas)",,,,,,,,,
,,,,,,,,,
Turma,Matricula Intercampus,Enquadramento,Vagas,Vagas,Reserva,Prioridade - Curso,Horário (dia/turno/aula),Professor (Sujeito à alteração),Optativa (Observar Equivalências)
,,,Total,Calouros,,,,,
CC8,Indisponível,Presencial,30,0,Fechada,1 - Ciência Computação,2M2(L16) - 2M3(L16) - 5M4(L16) - 5M5(L16),Hamilton Pereira Da Silva,Matriz:571
,,,,,,,,,Matriz:545
,,,,,,,,,
"CC57B - Construção De Compiladores   (4 Aulas semanais presenciais, 0 Aulas semanais assíncronas, 0 horas semestrais extensionistas)",,,,,,,,,
,,,,,,,,,
Turma,Matricula Intercampus,Enquadramento,Vagas,Vagas,Reserva,Prioridade - Curso,Horário (dia/turno/aula),Professor (Sujeito à alteração),Optativa (Observar Equivalências)
,,,Total,Calouros,,,,,
CC7,Indisponível,Presencial,40,0,Fechada,1 - Ciência Computação,3T2(L16) - 3T3(L16) - 5T2(L16) - 5T3(L16),Jorge Aikes Junior,Não
,,,,,,,,,
"MAT1008 - Descrição E Inferência Estatística De Dados   (3 Aulas semanais presenciais, 0 Aulas semanais assíncronas, 0 horas semestrais extensionistas)",,,,,,,,,
,,,,,,,,,
